cnum,cl_ava_2,cl_freq_2,cl_ava_3,cl_freq_3,cl_ava_4,cl_freq_4,cl_ava_5,cl_freq_5,cl_ava_6,cl_freq_6,cl_ava_7,cl_freq_7,cl_ava_8,cl_freq_8,cl_ava_9,cl_freq_9,cl_ava_10,cl_freq_10,cl_ava_11,cl_freq_11,cl_ava_12,cl_freq_12,cl_ava_13,cl_freq_13,cl_ava_14,cl_freq_14,com_ava_2,com_freq_2,com_ava_3,com_freq_3,com_ava_4,com_freq_4,com_ava_5,com_freq_5,com_ava_6,com_freq_6,com_ava_7,com_freq_7,com_ava_8,com_freq_8,com_ava_9,com_freq_9,com_ava_10,com_freq_10,com_ava_11,com_freq_11,com_ava_12,com_freq_12,com_ava_13,com_freq_13,com_ava_14,com_freq_14
KLQIIQ,206.0,10.0,97.66666666666667,3.0,103.8,15.0,103.78947368421052,19.0,134.25,12.0,128.57142857142858,7.0,123.57142857142857,7.0,172.44444444444446,9.0,219.66666666666666,6.0,122.14285714285714,7.0,118.08333333333333,12.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.97,1.0,0.0,0.0,325.57399999999996,5.0
ELFNTE,148.0,15.0,169.77777777777777,9.0,69.66666666666667,3.0,0.0,0.0,53.54545454545455,11.0,67.2,5.0,0.0,0.0,218.06666666666666,15.0,143.4,10.0,225.6,10.0,189.875,8.0,190.25,8.0,119.66666666666667,3.0,0.0,0.0,145.94333333333333,3.0,558.96,1.0,0.0,0.0,0.0,0.0,244.88,2.0,0.0,0.0,0.0,0.0,104.98499999999999,2.0,159.38666666666666,3.0,97.485,2.0,59.99,1.0,75.8,1.0
E4TULN,0.0,0.0,0.0,0.0,73.625,8.0,69.75,8.0,76.71428571428571,7.0,102.375,8.0,82.22222222222223,9.0,97.57142857142857,7.0,40.5,2.0,94.38461538461539,13.0,25.5,2.0,156.375,8.0,95.28571428571429,7.0,127.93,2.0,140.99,1.0,133.15,2.0,168.69,3.0,99.29333333333334,3.0,241.70499999999998,2.0,195.995,4.0,137.16666666666666,3.0,0.0,0.0,130.53333333333333,3.0,0.0,0.0,115.46,5.0,75.0,1.0
8OHYOS,211.5,4.0,894.0,5.0,186.3085714285714,7.0,152.0,6.0,252.4,5.0,347.7142857142857,7.0,337.3333333333333,6.0,246.16666666666666,6.0,114.75,4.0,284.0,4.0,423.0,9.0,258.0,8.0,534.8333333333334,6.0,0.0,0.0,0.0,0.0,0.0,0.0,132.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.99,1.0,383.06,1.0,247.3425,4.0,0.0,0.0,1085.93,1.0
ELQ4U1,441.2,5.0,283.25,4.0,325.6666666666667,6.0,337.3333333333333,6.0,223.125,8.0,355.7142857142857,7.0,159.33333333333334,3.0,0.0,0.0,331.14285714285717,7.0,177.25,4.0,516.2857142857143,7.0,371.54545454545456,11.0,366.625,8.0,238.21666666666667,3.0,0.0,0.0,139.0625,8.0,111.234,10.0,141.6833333333333,6.0,134.04999999999998,6.0,353.5566666666667,3.0,43.9,1.0,161.27375000000004,8.0,227.56400000000002,5.0,107.4975,4.0,117.765,2.0,142.3,4.0
RPKRJT,25.0,1.0,472.42857142857144,7.0,314.57142857142856,7.0,498.0,7.0,105.0,6.0,314.6666666666667,9.0,325.6666666666667,3.0,750.5,2.0,387.75,8.0,387.42857142857144,7.0,954.0,6.0,1222.6666666666667,3.0,34.0,5.0,104.67,1.0,183.645,2.0,156.82000000000002,3.0,172.73000000000002,2.0,101.00666666666666,6.0,125.978,5.0,74.435,2.0,202.08,2.0,217.79999999999998,3.0,47.98,1.0,0.0,0.0,274.98,1.0,640.4300000000001,2.0
E459R8,252.0,2.0,175.84615384615384,13.0,178.0,12.0,226.0,7.0,94.28571428571429,7.0,161.5,8.0,116.9,10.0,99.0,1.0,159.66666666666666,3.0,64.0,2.0,0.0,0.0,219.33333333333334,3.0,169.0,1.0,330.39000000000004,3.0,283.79,1.0,0.0,0.0,329.765,2.0,0.0,0.0,35.0,2.0,35.0,1.0,35.0,1.0,35.0,1.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0
EEJHI9,86.5,4.0,904.2857142857143,7.0,165.2,5.0,118.5,2.0,90.33333333333333,3.0,349.9166666666667,12.0,292.5025,4.0,497.02666666666664,6.0,146.47750000000002,4.0,488.75,4.0,114.0,4.0,1389.67,3.0,377.6,5.0,392.07,1.0,216.0,1.0,415.0366666666667,6.0,293.08,4.0,0.0,0.0,298.3,10.0,158.7566666666667,3.0,494.66,1.0,0.0,0.0,288.64,1.0,0.0,0.0,275.0675,4.0,190.33,1.0
PHDCFD,1078.75,4.0,1599.5,4.0,627.25,4.0,1108.857142857143,7.0,876.0,4.0,767.0,4.0,1619.3333333333333,3.0,543.5,2.0,732.0,5.0,596.1428571428571,7.0,925.0,7.0,1014.3333333333334,6.0,1014.3333333333334,6.0,172.7,10.0,238.55769230769232,13.0,239.47142857142856,7.0,233.5,2.0,237.304,15.0,238.495,6.0,200.05666666666664,3.0,181.61749999999998,12.0,267.70166666666665,6.0,165.53181818181818,11.0,235.8211111111111,9.0,344.9783333333333,6.0,183.60000000000002,9.0
ZDNNYS,161.0,7.0,166.83333333333334,6.0,154.75,8.0,291.2,5.0,188.2,5.0,143.0,1.0,227.8,5.0,187.75,4.0,144.0,3.0,155.0,5.0,215.5,4.0,190.4,5.0,130.6,5.0,0.0,0.0,414.45,1.0,201.254,5.0,159.09166666666667,6.0,184.62800000000001,5.0,166.81600000000003,5.0,185.48874999999998,8.0,75.8,2.0,254.21,3.0,43.99,2.0,153.676,5.0,122.30000000000001,2.0,105.723,10.0
